experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp3,temp_only,SW4C6,4°C,0,5,9,43.54,0.329,0.33,0.328,0.329,69.11,25.57,77.72036474164133,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,15°C,0,5,9,44.44,0.582,0.579,0.571,0.596,68.98,24.540000000000006,42.16494845360826,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,30°C,0,5,9,50.88,0.24,0.236,0.234,0.25,69.31,18.43,76.79166666666667,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,4-2C6,4°C,0,6,11,50.58,0.20033333333333334,0.2,0.2,0.201,69.02,18.439999999999998,92.04658901830281,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,15°C,0,6,11,51.56,0.254,0.26,0.256,0.246,69.16,17.599999999999994,69.29133858267714,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,4-2C6,30°C,0,6,11,56.28,0.26966666666666667,0.261,0.273,0.275,69.21,12.929999999999993,47.948084054388104,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,4°C,0,6,11,40.89,0.21766666666666667,0.214,0.215,0.224,69.86,28.97,133.09341500765694,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,15°C,0,6,11,48.21,0.265,0.268,0.265,0.262,69.71,21.499999999999993,81.13207547169809,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW1B2,30°C,0,6,11,55.57,0.14,0.137,0.141,0.142,69.16,13.589999999999996,97.07142857142854,NA,NA,NA,NA,NA,FALSE
exp3,temp_only,SW4C6,4°C,0,6,11,44.41,0.23233333333333336,0.232,0.229,0.236,69.11,24.700000000000003,106.31276901004304,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,15°C,0,6,11,43.38,0.5583333333333333,0.554,0.554,0.567,68.98,25.6,45.85074626865672,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp3,temp_only,SW4C6,30°C,0,6,11,56.01,0.22233333333333336,0.224,0.221,0.222,69.31,13.300000000000004,59.8200899550225,A3,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,H5G,4°C,0,1,1,69.43,0.025333333333333336,0.028,0.024,0.024,69.43,0,0,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,15°C,0,1,1,69.25,0.025000000000000005,0.027,0.024,0.024,69.25,0,0,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,30°C,0,1,1,69.31,0.024666666666666667,0.022,0.026,0.026,69.31,0,0,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,4°C,0,1,1,69.67,0.022333333333333334,0.021,0.023,0.023,69.67,0,0,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
